"time","counterfact.bat.EneSoC"
3902.4,684000.0001404403
3916.8,684000.0001404403
3931.2,684000.0001404403
3945.6,684000.0001404403
3960,684000.0001404403
3974.4,684000.0001404403
3988.8,684000.0001404403
4003.2,684000.0001404403
4017.6,684000.0001404403
4032,684000.0001404403
4046.4,684000.0001404403
4060.8,684000.0001404403
4075.2,684000.0001404403
4089.6,684000.0001404403
4104,684000.0001404403
4118.4,684000.0001404403
4132.8,684000.0001404403
4147.2,684000.0001404403
4161.6,684000.0001404403
4176,684000.0001404403
4190.4,684000.0001404403
4204.8,684000.0001404403
4216.073746813439,684000.0001404403
4216.073746813439,684000.0001404403
4219.2,684000.0001404403
4233.6,684000.0001404403
4248,684000.0001404403
4262.4,684000.0001404403
4276.8,684000.0001404403
4291.2,684000.0001404403
4305.6,684000.0001404403
4320,684000.0001404403
4334.4,684000.0001404403
4348.8,684000.0001404403
4363.2,684000.0001404403
4377.6,684000.0001404403
4392,684000.0001404403
4406.4,684000.0001404403
4420.8,684000.0001404403
4435.2,684000.0001404403
4449.6,684000.0001404403
4464,684000.0001404403
4478.4,684000.0001404403
4492.8,684000.0001404403
4507.2,684000.0001404403
4521.6,684000.0001404403
4536,684000.0001404403
4550.4,684000.0001404403
4564.8,684000.0001404403
4579.2,684000.0001404403
4593.6,684000.0001404403
4608,684000.0001404403
4622.4,684000.0001404403
4636.8,684000.0001404403
4651.2,684000.0001404403
4665.6,684000.0001404403
4680,684000.0001404403
4694.4,684000.0001404403
4708.8,684000.0001404403
4723.2,684000.0001404403
4737.6,684000.0001404403
4752,684000.0001404403
4766.4,684000.0001404403
4780.8,684000.0001404403
4795.2,684000.0001404403
4809.6,684000.0001404403
4824,684000.0001404403
4838.4,684000.0001404403
4852.8,684000.0001404403
4867.2,684000.0001404403
4881.6,684000.0001404403
4896,684000.0001404403
4910.4,684000.0001404403
4924.8,684000.0001404403
4939.2,684000.0001404403
4953.6,684000.0001404403
4968,684000.0001404403
4973.469261506756,684000.0001404403
4973.469261506756,684000.0001404403
4982.4,684000.0001404403
4996.8,684000.0001404403
5000.000000000125,684000.0001404403
5000.000000000125,684000.0001404403
5011.2,683899.4805277364
5025.6,683474.908793848
5033.166881437712,683118.722136643
5033.166881437712,683118.722136643
5039.805333095746,682697.9844650943
5039.805333095746,682697.9844650943
5039.805337190324,682697.9841842697
5039.805337190324,682697.9841842697
5040,682684.6036741912
5054.4,681530.0198305205
5068.8,680050.3818501242
5083.2,678245.9058610541
5097.6,676116.9090231801
5112,673663.8389505653
5126.4,670887.2313601522
5140.8,667787.7373220228
5155.2,664366.1157346844
5169.6,660623.2321118413
5184,656560.0592558898
5198.4,652177.6734608873
5212.8,647477.2609748505
5227.2,642460.1149597511
5241.6,637127.6344158708
5256,631481.3247884798
5270.4,625522.7974404885
5284.8,619253.7695280954
5299.2,612676.0634602022
5313.6,605791.6068617516
5328,598602.4313156557
5342.4,591110.6729991076
5356.8,583318.5715488731
5371.2,575228.4696410053
5385.6,566842.8127844835
5400,558164.1469849689
5414.4,549195.1206301202
5428.8,539938.4817529166
5443.2,530397.0783357979
5457.6,520573.857244513
5472,510471.8628310261
5486.4,500094.2373822267
5500.8,489444.2185162068
5515.2,478525.1400259962
5529.6,467340.4293410098
5544,455893.6073947378
5558.4,444188.2875066382
5572.8,432228.173531963
5587.2,420017.0600718326
5601.6,407558.8295317417
5616,394857.4527695503
5630.4,381916.9863416767
5644.8,368741.5719315447
5659.2,355335.4351327755
5673.6,341702.8832422654
5688,327848.305212385
5702.4,313776.1678514149
5716.8,299491.0169366676
5731.2,284997.4744361245
5745.6,270300.2373823582
5760,255404.0859221732
5774.4,240313.8604275961
5783.926253426796,230226.7143734505
5783.926253426796,230226.7143734505
5788.8,225046.8370504578
5803.2,209742.3413548474
5817.6,194437.8456592359
5832,179133.3499636253
5846.4,163828.8542680146
5860.8,148524.3585724032
5875.2,133219.8628767928
5889.6,117915.3671811816
5898.929369058702,107999.9999171772
5898.929369058702,107999.9999171772
5900.115190762792,107999.9999171772
5900.115190762792,107999.9999171772
5904,107999.9999171772
5918.4,107999.9999171772
5932.8,107999.9999171772
5947.2,107999.9999171772
5961.6,107999.9999171772
5976,107999.9999171772
5990.4,107999.9999171772
6004.8,107999.9999171772
6019.2,107999.9999171772
6033.6,107999.9999171772
6048,107999.9999171772
6062.4,107999.9999171772
6076.8,107999.9999171772
6091.2,107999.9999171772
6105.6,107999.9999171772
6120,107999.9999171772
6134.4,107999.9999171772
6148.8,107999.9999171772
6163.2,107999.9999171772
6177.6,107999.9999171772
6192,107999.9999171772
6206.4,107999.9999171772
6220.8,107999.9999171772
6235.2,107999.9999171772
6249.6,107999.9999171772
6250.000000238774,107999.9999171772
6250.000000238774,107999.9999171772
6250.000000502921,107999.9999171772
6250.000000502921,107999.9999171772
6264,107999.9999171772
6278.4,107999.9999171772
6292.8,107999.9999171772
6307.2,107999.9999171772
6321.6,107999.9999171772
6336,107999.9999171772
6350.4,107999.9999171772
6364.8,107999.9999171772
6379.2,107999.9999171772
6393.6,107999.9999171772
6408,107999.9999171772
6422.4,107999.9999171772
6436.8,107999.9999171772
6451.2,107999.9999171772
6465.6,107999.9999171772
6480,107999.9999171772
6494.4,107999.9999171772
6508.8,107999.9999171772
6523.2,107999.9999171772
6537.6,107999.9999171772
6552,107999.9999171772
6566.4,107999.9999171772
6580.8,107999.9999171772
6595.2,107999.9999171772
6609.6,107999.9999171772
6624,107999.9999171772
6638.4,107999.9999171772
6652.8,107999.9999171772
6667.2,107999.9999171772
6681.6,107999.9999171772
6696,107999.9999171772
6710.4,107999.9999171772
6716.07374681351,107999.9999171772
6716.07374681351,107999.9999171772
6724.8,107999.9999171772
6739.2,107999.9999171772
6753.6,107999.9999171772
6768,107999.9999171772
6782.4,107999.9999171772
6794.491251880281,107999.9999171772
6794.491251880281,107999.9999171772
6796.8,107999.9999171772
6811.2,107999.9999171772
6825.6,107999.9999171772
6840,107999.9999171772
6854.4,107999.9999171772
6868.8,107999.9999171772
6883.2,107999.9999171772
6897.6,107999.9999171772
6912,107999.9999171772
6926.4,107999.9999171772
6940.8,107999.9999171772
6955.2,107999.9999171772
6969.6,107999.9999171772
6984,107999.9999171772
6998.4,107999.9999171772
7012.8,107999.9999171772
7027.2,107999.9999171772
7041.6,107999.9999171772
7056,107999.9999171772
7070.4,107999.9999171772
7084.8,107999.9999171772
7099.2,107999.9999171772
7113.6,107999.9999171772
7128,107999.9999171772
7142.4,107999.9999171772
7156.8,107999.9999171772
7171.2,107999.9999171772
7185.6,107999.9999171772
7200,107999.9999171772
7200,107999.9999171772
